created_at,text,anotasi,is_kecelakaan
"Wed Jun 25 11:14:44 +0000 2025","“Candi Prambanan”...","Wisata",0
"Wed Jun 25 10:39:50 +0000 2025","Fly Over Jombor ketika sore hari...","Wisata",0
"Wed Jun 25 10:30:49 +0000 2025","Polda DIY terus mengusut kasus dugaan mafia tanah...","Kriminal",0
"Wed Jun 25 09:37:39 +0000 2025","Assalamualaikum min , terkait pak ogah kemarin yang menyebabkan laka lantas...","Kecelakaan",1
"Wed Jun 25 09:06:51 +0000 2025","permisi mas, izin semisal saya minta posting boleh tidak mas...","Kriminal",0
"Wed Jun 25 08:57:07 +0000 2025","Assalamualaikum wr.wb...","Kecelakaan",1
"Wed Jun 25 08:07:33 +0000 2025","BKAD Kulon Progo mencatat ada 19.808 kendaraan yang belum membayar pajak...","Infrastruktur",0
"Wed Jun 25 07:32:53 +0000 2025","Mobil Terparkir Ditabrak Kendaraan yang Melaju...","Kecelakaan",1
"Wed Jun 25 06:14:52 +0000 2025","Assalamualaikum min Boleh minta tolong share in ini Min...","Kehilangan",0
"Wed Jun 18 07:36:38 +0000 2025","Min mohon maaf ya saya cerita , saya lg depresi berat min...","Etc",0
"Wed Jun 18 04:33:19 +0000 2025","Mau cerita min, sebenernya masih blm ikhlas...","Etc",0
"Wed Jun 18 04:17:38 +0000 2025","Merpati Sarah Merekam Indah nya Pantai Ngobaran...","Wisata",0
"Wed Jun 18 03:58:25 +0000 2025","menuju balai yasa Yogyakarta untuk menjalani perbaikan...","Etc",0
"Wed Jun 18 02:38:14 +0000 2025","Alhamdulillah sudah ketemu min, di Mertoyudan diduga rumah simbahnya...","Kehilangan",0
"Wed Jun 18 00:54:25 +0000 2025","[Breaking News] 07:30 Info awal terjadi kecelakaan di perempatan dekat pengadilan negeri Sleman...","Kecelakaan",1
"Wed Jun 18 00:11:31 +0000 2025","Tragis!!! Petani warga Kanigoro, Saptosari, Gunungkidul...","Kriminal",0
"Tue Jun 17 23:56:46 +0000 2025","Jembatan Srandakan 3,Galur,Kulon Progo,Yogyakarta...","Wisata",0
"Tue Jun 17 19:42:07 +0000 2025","Laporan Kejadian Begal Pelecehan Seksual di Jalan Tongkol Raya Minomartani...","Pelecehan",0
"Tue Jun 17 18:44:10 +0000 2025","Admin, mohon nama saya disamarkan ya...","Etc",0
"Tue Jun 17 17:53:16 +0000 2025","Nikmati sepimu, kencengi kerjomu...","Etc",0
"Tue Jun 17 17:39:52 +0000 2025","“Our sun is one of over 100 billion stars in the milky way galaxy...","Etc",0
"Tue Jun 17 17:20:11 +0000 2025","Malem min, maaf min saya mau ikut berbagi cerita...","Kriminal",0
"Tue Jun 17 16:45:49 +0000 2025","Pukul 22:20 Terjadi kecelakaan Karangturi Giwangan...","Kecelakaan",1
"Tue Jun 17 16:40:35 +0000 2025","Titip pesan min untuk para orang tua lebih hati² dalam memberikan ijin anaknya naik motor...","Kecelakaan",1
"Tue Jun 17 16:39:38 +0000 2025","Pelepasan tukik di Jogja Selatan 🐢...","Wisata",0
"Tue Jun 17 14:29:19 +0000 2025","21:08 Min ada info laka kayaknya lumayan parah...","Kecelakaan",1
"Tue Jun 17 13:40:20 +0000 2025","Selamat malam min, mohon bantuannya untuk memposting pencarian orang hilang...","Kehilangan",0
"Tue Jun 17 12:57:08 +0000 2025","Halo min , mohon maaf mengganggu. Saya mau minta bantuannya 🙏...","Kehilangan",0
"Tue Jun 17 11:42:02 +0000 2025","Merekam Video Udara Dengan Burung Merpati !!...","Wisata",0
"Tue Jun 17 11:09:03 +0000 2025","PT KAI resmi mengirimkan surat peringatan ketiga (SP3)...","Infrastruktur",0
"Tue Jun 17 11:04:18 +0000 2025","Siapa sangka diJogja bagian kulonprogo tersembunyi surga kecil...","Wisata",0
"Tue Jun 17 10:01:57 +0000 2025","Selamat sore min, saya titip pesan teruntuk pengelola bus trans jogja...","Infrastruktur",0
"Tue Jun 17 09:49:27 +0000 2025","[Breaking News] 16:38 min, izin melaporkan. terjadi kecelakaan di dekat rumah saya...","Kecelakaan",1
"Tue Jun 17 09:35:50 +0000 2025","Telah terjadi kemalingan kotak amal di MASJID WAKAF PATANGPULUHAN...","Kriminal",0
"Tue Jun 17 08:51:05 +0000 2025","hi min izin membagikan postingan mohon bantuannya...","Kriminal",0
"Tue Jun 17 08:25:05 +0000 2025","""Prambanan, the Most Beautiful and Graceful Hindu Temple in Indonesia.""...","Wisata",0
"Tue Jun 17 07:25:54 +0000 2025","Telah terjadi pencurian dengan nomor plat motor AB 2973 SH...","Kriminal",0
"Tue Jun 17 04:01:54 +0000 2025","Info anak hilang...","Kehilangan",0
"Tue Jun 17 03:56:25 +0000 2025","Hallo sedulur Bantul, Laden Dodok merupakan ketrampilan untuk melayani para tamu...","Budaya",0
"Tue Jun 17 03:47:26 +0000 2025","Halo min mau ngasih info, pohon di depan toko Mayar bantul langsung ditebas min...","Kecelakaan",1
"Tue Jun 17 02:15:23 +0000 2025","Sak susah susahe wong tuo iseh isoh nyenengke anak'e...","Etc",0
"Tue Jun 17 02:02:52 +0000 2025","Gunung Merapi dan KA Bandara YIA Express [556]...","Wisata",0
"Tue Jun 17 00:41:50 +0000 2025","Satpol PP Kota Yogyakarta melaksanakan kegiatan sosialisasi...","Infrastruktur",0
"Tue Jun 17 00:36:03 +0000 2025","Halo min mau cerita, pengalaman tidak mengenakkan sekali tadi pagi...","Pelecehan",0
"Tue Jun 17 00:15:38 +0000 2025","Min maling motor vario 125, selasa pagi di jl kimangunsarkoro baciro...","Kriminal",0
"Tue Jun 17 00:11:21 +0000 2025","02:27 Kecelakaan jl magelang sebelum hotel grand serela min...","Kecelakaan",1
"Mon Jun 16 16:07:23 +0000 2025","Apakah kalian tahu? Bangunan peninggalan masa Kolonial Belanda...","Budaya",0
"Mon Jun 16 16:01:46 +0000 2025","Pagi yang indah di ketinggian 3153 MDPL Gunung Sindoro...","Wisata",0
"Mon Jun 16 15:20:04 +0000 2025","Goncengan 3,yg tengah kedua tangan dipegang kebelakang...","Kecelakaan",1
"Mon Jun 16 15:16:24 +0000 2025","Sahabat Zayed Golek Garwo part#2...","Promosi",0
"Mon Jun 16 15:08:00 +0000 2025","[Foto] Melihat dan merasakan aktivitas Merapi sisi barat daya...","Wisata",0
"Mon Jun 16 14:51:04 +0000 2025","Min mau cerita,\n\nKemarin kan suamiku mau berangkat kerja... pohon tumbang...","Kecelakaan",1
"Mon Jun 16 14:34:05 +0000 2025","Seribu candi, satu hati yang kecewa...","Wisata",0
"Mon Jun 16 14:20:47 +0000 2025","Pengen Tahu Gak..? Asap Gunung Merapi, Keluarnya Darimana..!!...","Wisata",0
"Mon Jun 16 13:52:09 +0000 2025","terjadi pencurian sepeda tepatnya di semoya tegaltirto berbah sleman...","Kriminal",0
"Mon Jun 16 13:48:18 +0000 2025","Kejadian curanmor montor beat AB 5217 MX sabtu 14 juni 2025...","Kriminal",0
"Mon Jun 16 12:51:14 +0000 2025","Tentang senar layang layang di Fly over Lempuyangan...","Infrastruktur",0
"Mon Jun 16 12:01:43 +0000 2025","Jalan menuju bukit klangon udah disuguhi view secakep ini😍...","Wisata",0
"Mon Jun 16 10:57:15 +0000 2025","- Pasar Butuh -...","Wisata",0
"Mon Jun 16 10:56:15 +0000 2025","min izin melapor, ini saat tgl 11 juni kemarin di depan alfamidi hoscokroaminoto...","Infrastruktur",0
"Mon Jun 16 10:49:19 +0000 2025","Sarang Burung kuntul, dengan keindahan view sunset pantai baros...","Wisata",0
"Mon Jun 16 09:15:47 +0000 2025","Kang ngapurane tulong pantauane kancaku kelangan motor CRF Plat BH 6963 XG...","Kriminal",0
"Mon Jun 16 08:36:47 +0000 2025","Min, mau cerita. Tolong bantu up 🙏🏻\n\nKemaren hari minggu, dari kantorku ada acara bonding...","Pelecehan",0
"Mon Jun 16 08:11:00 +0000 2025","[Breaking News] 14:45 terjadi kecelakaan di jl Wates KM 8...","Kecelakaan",1
"Mon Jun 16 08:06:49 +0000 2025","Assalamualaikum Min, mau minta tolong bantu sebar luaskan info orang hilang ya min...","Kehilangan",0
"Mon Jun 16 06:54:55 +0000 2025","Sing bulan Juni akeh undangan, bulan juli mikir mbayar seragam sekolah...","Etc",0
"Mon Jun 16 06:02:54 +0000 2025","GKR Bendara menggendong anak kecil saat kunjungan kerja...","Etc",0
"Mon Jun 16 05:59:01 +0000 2025","DPRD DIY mewacanakan pembukaan trayek TransJogja rute Jogja–Wonosari...","Infrastruktur",0
"Mon Jun 16 04:41:21 +0000 2025","[Breaking News] Team sar melakukan evakuasi terhadap jaka prayitna...","Kecelakaan",1
"Mon Jun 16 02:33:24 +0000 2025","Halo min , sekedar cerita buat teman"" biar tidak mengalami hal bodoh seperti yang saya lakukan...","Etc",0
"Sun Jun 15 21:44:23 +0000 2025","[Breaking News] kecekel min vandalisme di ringroad UPN jam 03.00 hari ini...","Kriminal",0
"Sun Jun 15 15:35:50 +0000 2025","Permisi min saya mau share sedikit unek² yang terjadi sore tadi...","Etc",0
"Sun Jun 15 15:22:30 +0000 2025","Min, boleh minta tlh dishare ga sih buat pengingat aja itu ada rambu rambu belok kiri...","Etc",0
"Sun Jun 15 15:09:52 +0000 2025","Masyaallah selalu bahagiaa pulang dari pasar 🥰...","Wisata",0
"Sun Jun 15 14:57:28 +0000 2025","Asik juga spotnya, sekalian beli ikan...","Wisata",0
