created_at,text
Thu Jun 26 08:53:29 +0000 2025,"Mbah Burger kembali😍
Sebelum puasa Simbah jatuh di toko depan pasar gentan waktu beli gula.Stlh 4 bulan istirahat akhirnya mulai awal juni kemaren mulai jualan kembali, 
tapi gak keliling lagi.Simbah jualan di depan alfamart Jl.Kaliurang km 11.Ayo dilarisi lagi | @prama_syara https://t.co/cFeYThNjFI"
Thu Jun 26 08:12:49 +0000 2025,"Kejaksaan Negeri Sleman melaksanakan pemusnahan barang bukti yang telah berkekuatan hukum tetap (inkracht).

Pemusnahan ini merupakan bagian dari penegakan hukum dan komitmen kami dalam menegakkan keadilan serta memastikan barang bukti tidak disalahgunakan.

Langkah ini merupakan bentuk akuntabilitas dan transparansi kami kepada masyarakat.

(kejari_sleman)"
Thu Jun 26 07:37:58 +0000 2025,"AWAS BAHAYA LOVE SCAMMING DAN PENIPUAN MENGHAPUS UTANG PINJOL
.
Ditreskrimsus Polda DIY berhasil mengungkap penipuan dengan modus menghapus utang pinjol serta love scamming.
.
Selengkapnya dapat anda simak di https://t.co/RoKRVsoEzT dan media sosial resmi https://t.co/C2NgTH1J0b"
Thu Jun 26 03:51:13 +0000 2025,"Jajaran Satreskoba Polres Gunungkidul, berhasil mengamankan setidaknya ada 285 botol miras dari berbagai merk. Kini ratusan botol tersebut disita petugas dan kemudian nantinya akan di musnahkan.

(sekilas_gunungkidul) https://t.co/nfLc6C9OfF"
Thu Jun 26 03:34:24 +0000 2025,"🌊 Tahukah kamu?
Membuang sampah ke sungai bukan hanya merusak lingkungan, tapi juga bisa menyebabkan banjir, pencemaran air, bahkan penyakit!

💬 Satpol PP Kota Yogyakarta mengajak seluruh warga untuk:

🚫 Jangan buang sampah ke sungai!
✅ Buang sampah di tempatnya
✅ Ajak keluarga dan tetangga ikut peduli

Lingkungan bersih dimulai dari tindakan kecil.
Yuk, bersama kita jaga Kota Yogyakarta agar tetap bersih, sehat, dan nyaman untuk semua.

Video by dokterhasto

(satpolppkotayogyakarta)"
Thu Jun 26 03:30:32 +0000 2025,"Ada lubang min, membahayakan motor di daerah pertigaan bibis ambarketawang Gamping Sleman

(_fadhilakbar) https://t.co/RDReVF8ppU"
Thu Jun 26 03:22:24 +0000 2025,"Kecanduan Judi Online, Penjambret yang Beraksi 8 kali ini Dibekuk Polisi

Polisi berhasil membekuk pelaku penjambretan yang menyasar ibu-ibu dan anak-anak perempuan yang mengenakan perhiasan. Bahkan pelaku telah beraksi sebanyak delapan kali di wilayah Kabupaten Bantul.

Kasi Humas Polres Bantul, AKP I Nengah Jeffry Prana Widnyana mengatakan, kejadian bermula saat terjadi penjambretan kalung emas di Jalan Samas, Sanden, Bantul.

""Korban kemudian membuat laporan polisi ke Polsek Sanden dan akhirnya pelaku dapat diamankan di wilayah Kulonprogo,"" katanya saat jumpa pers di Polres Bantul, Rabu (25/6/2025).

Setelah dilakukan permeriksaan, pelaku yang berinisial AFP (29) warga Galur, Kulonprogo ini, juga mengakui telah melakukan aksi yang sama sebelumnya, yaitu pada hari Kamis tanggal 5 Juni 2025 di Jalan Piring Murtigading, Sanden, Bantul dan mendapatkan hasil berupa 1 (satu) buah kalung emas.

Selain menyita barang bukti berupa satu kalung emas, polisi juga menyita barang bukti lainnya berupa sepeda motor dan pakaian yang dia kenakan saat beraksi.

""Motif pelaku adalah karena kecanduan judol dan akhirnya tidak bisa memenuhi kebutuhan sehari-hari,"" ucapnya.

Modus yang dipakai oleh pelaku yaitu pelaku yang mengendarai sepeda motor seorang diri lalu mencari sasarannya terutama ibu-ibu dan anak-anak perempuan yang mengenakan perhiasan berupa kalung emas.

“Pelaku memepet korbannya kemudian secara paksa merampas kalung yang dikenakan korban,” imbuhnya.

Dari pengakuan tersangka bahwa dia telah melakukan aksi penjambretan tersebut sebanyak kurang lebih 8 (delapan) kali selama kurun waktu bulan Desember 2024 sampai dengan bulan Juni 2025.

“Untuk tempatnya di antaranya wilayah hukum Sanden, Srandakan, Bambanglipuro, dan Bantul kota,” ungkapnya.

Untuk mempertanggungjawabkan perbuatannya, AFP dijerat Pasal 365 Ayat (1) KUHP tentang pencurian dengan kekerasan.
""Ancaman hukumannya maksimal sembilan tahun penjara,"" tandasnya.

(polresbantuldiy)"
Thu Jun 26 01:55:20 +0000 2025,"Jumbo emang se-Jumbo itu ya

Gas langsung abadikan untuk foto-foto dengan Jumbo
.
.
.
📍Stasiun Yogyakarta

(adikaprayudi) https://t.co/OliGJMlWsu"
Thu Jun 26 01:47:33 +0000 2025,"Lapor min, Hari ini kamis 26 juni nyari parkiran di YIA susah malah liat orang  Parkir kayak gitu https://t.co/XIge6F6X1e"
Thu Jun 26 01:24:32 +0000 2025,"""1 Suro dan Jumat Kliwon baru akan bersamaan menunggu 8 tahun lagi, sudah ditentukan di Penanggalan Sultan Agungan, itu sudah pasti.

Keberangkatan akan dimulai dari Bangsal Ponconiti,Kompleks Kamandungan Lor (keben),Keraton Yogyakarta.

Menjaga Keheningan,Ketertiban,Busana Rapi,Tidak menggunakan Celana Pendek,Tidak berkata Kasar meski sudah selesai.

(bliwae)"
Thu Jun 26 01:02:36 +0000 2025,"""Menelusuri asrinya desa di sekitar Candi Plaosan dengan sepeda, berkebaya atau berjarik ala Jawa tempo dulu. Harmoni budaya, alam, dan sejarah menyatu dalam setiap kayuhan.""

(candi.plaosan) https://t.co/JH1K87KLOx"
Thu Jun 26 01:00:09 +0000 2025,"""Mount Merapi is a volcano in Indonesia. It is on the island of Java. It is conical in shape. It is the most active volcano of Indonesia.""

•
Shot on DJI Mavic 4 Pro by @dji.era

(novian_altelucav) https://t.co/Q8Lpfh5YUi"
Thu Jun 26 00:05:03 +0000 2025,"halo min, minta tolong di up buat pengendara yg lewat jalan godean, ada kabel melintang di timur mirota godean. semoga segera ditangani pihak terkait. 

mohon maaf ga ada foto min, tadi pas naik transjogja. 🙏🏻"
Wed Jun 25 23:46:24 +0000 2025,"📍Perempatan Pelem Gurih, Ring Road Barat, Gamping, Kab. Sleman

Pemandangan seperti ini sangat mudah ditemui di area ini. Selain menggunakan CCTV, semoga ke depan dashcam atau laporan dari masyarakat dapat menjadi pertimbangan untuk melakukan penindakan e-TLE.

(dashcam.jogja)"
Wed Jun 25 23:43:18 +0000 2025,"Libur sekolah, kota jogja mulai dipadati wisatawan.
Puncak libur sekolah di Malioboro, Yogyakarta, diperkirakan akan terjadi pada akhir Juni hingga awal Juli 2025, khususnya pada periode libur sekolah yang dimulai tanggal 23 Juni dan berakhir 12 Juli.

Selamat liburan, libur telah tiba horeee.

📌 Stasiun tugu jogja

(amri_faris)"
